도시,구,동,위도,경도
대구광역시,달서구,대천동,35.8176058,128.5253095
대구광역시,달서구,진천동,35.81002222,128.5244472
대구광역시,달서구,상인2동,35.81525,128.5383139
대구광역시,달서구,대곡동,35.80828889,128.5123056
대구광역시,달서구,본동,35.83395,128.5386694
대구광역시,달서구,월성1동,35.822575,128.525825
대구광역시,달서구,송현1동,35.82704444,128.5524889
대구광역시,달서구,월성2동,35.83161944,128.5265694
대구광역시,달서구,월성2동,35.83380556,128.5301583
대구광역시,달서구,상인3동,35.81016667,128.5525972
대구광역시,달서구,상인3동,35.81451667,128.5491028
대구광역시,달서구,도원동,35.80276944,128.5359583
대구광역시,달서구,신당동,35.853075,128.4954167
대구광역시,달서구,용산2동,35.851825,128.5157028
대구광역시,달서구,본리동,35.83840556,128.5447694
대구광역시,달서구,이곡동,35.85559167,128.5016944
대구광역시,달서구,용산동,35.85947778,128.5209361
대구광역시,달서구,신당동,35.85367778,128.4996056
대구광역시,달서구,감삼동,35.85499722,128.5422556
대구광역시,달서구,이곡1동,35.85353333,128.5106028
대구광역시,달서구,장기동,35.84363889,128.5281917
대구광역시,달서구,본리동,35.83799722,128.5467667
대구광역시,달서구,장기동,35.8517,128.5225083
대구광역시,달서구,본리동,35.83970278,128.5332583
대구광역시,달서구,신당동,35.85732778,128.4968833
대구광역시,달서구,본리동,35.83855556,128.532525
대구광역시,달서구,용산2동,35.86021111,128.522525
대구광역시,달서구,감삼동,35.84813056,128.5401583
대구광역시,달서구,죽전동,35.85264722,128.5400472
대구광역시,달서구,두류3동,35.84695,128.5513444
대구광역시,달서구,이곡1동,35.85596667,128.5082694
대구광역시,달서구,성당동,35.83877222,128.5556667
대구광역시,달서구,장기동,35.847462,128.5197928
대구광역시,달서구,용산1동,35.85226944,128.5318583
대구광역시,달서구,이곡2동,35.85985278,128.5018056
대구광역시,달서구,이곡1동,35.85746389,128.5102306
대구광역시,달서구,용산2동,35.853975,128.5217
대구광역시,달서구,감삼동,35.84527222,128.5427778
대구광역시,달서구,용산1동,35.855925,128.5280028
대구광역시,달서구,신당동,35.85409167,128.4971167
대구광역시,달서구,장기동,35.84258333,128.5283583
대구광역시,달서구,두류3동,35.85474167,128.5519417
대구광역시,달서구,대천동,35.81645,128.5184833
대구광역시,달서구,대천동,35.81696944,128.5181722
대구광역시,달서구,상인동,35.81248889,128.5423361
대구광역시,달서구,월성동,35.8248127,128.5269524
대구광역시,달서구,월성동,35.83005833,128.5311806
대구광역시,달서구,도원동,35.80464722,128.535425
대구광역시,달서구,본리동,35.84241667,128.541525
대구광역시,달서구,본리동,35.83938333,128.5338806
대구광역시,달서구,장기동,35.8507882,128.5243441
대구광역시,달서구,장기동,35.84349167,128.5295028
대구광역시,달서구,파호동,35.84978333,128.4778167
대구광역시,달서구,성당동,35.84519167,128.5502889
대구광역시,달서구,용산동,35.85929722,128.5225917
대구광역시,달서구,유천동,35.81656389,128.5180722
대구광역시,달서구,죽전동,35.85497222,128.5359472
대구광역시,달서구,용산1동,35.85398056,128.5338028
대구광역시,달서구,도원동,35.79814167,128.5482472
대구광역시,달서구,송현1동,35.82519167,128.551
대구광역시,달서구,송현동,35.82778889,128.5478361
대구광역시,달서구,대곡동,35.80595556,128.5110722
대구광역시,달서구,대곡동,35.80793056,128.5156389
대구광역시,달서구,송현동,35.82818333,128.5511111
대구광역시,달서구,상인동,35.80648611,128.5521139
대구광역시,달서구,본동,35.83397222,128.5412583
대구광역시,달서구,도원동,35.8036431,128.5325276
대구광역시,달서구,본동,35.83661111,128.5393583
대구광역시,달서구,성당동,35.83801389,128.5488333
대구광역시,달서구,장기동,35.84309167,128.5158917
대구광역시,달서구,장기동,35.84757778,128.5165028
대구광역시,달서구,용산동,35.86425,128.5260139
대구광역시,달서구,두류3동,35.85565278,128.5547667
대구광역시,달서구,두류동,35.85636111,128.5632528
대구광역시,달서구,성당동,35.83774444,128.5542778
대구광역시,달서구,감삼동,35.84541389,128.5440667
