주소,동,위도,경도
대구광역시 달서구성당동 520-15,성당동 520-15,35.84296944,128.5547889
대구광역시 달서구성당동 824,성당동 824,35.83928333,128.5494333
대구광역시 달서구용산동 561-6,용산동 561-6,35.85994444,128.5236917
대구광역시 달서구용산동 455-9,용산동 455-9,35.85664722,128.5224111
대구광역시 달서구죽전동 253-1,죽전동 253-1,35.85234722,128.5391694
대구광역시 달서구신당동 1834-5,신당동 1834-5,35.85245833,128.4941944
대구광역시 달서구신당동 1801,신당동 1801,35.85474444,128.4937389
대구광역시 달서구성당동 701-5,성당동 701-5,35.84599722,128.5461583
대구광역시 달서구두류동 140-2,두류동 140-2,35.85700556,128.5599306
대구광역시 달서구상인1동 1530,상인1동 1530,35.81761111,128.5448917
대구광역시 달서구송현1동 1993-2,송현1동 1993-2,35.82895,128.5569833
대구광역시 달서구진천동 780-1,진천동 780-1,35.81080278,128.5180833
대구광역시 달서구월성2동 270-4,월성2동 270-4,35.83251111,128.5335472
대구광역시 달서구도원동 952,도원동 952,35.79871667,128.5480694
대구광역시 달서구송현동 1918-2,송현동 1918-2,35.82681944,128.5464694
대구광역시 달서구송현동 147,송현동 147,35.83308056,128.5520556
대구광역시 달서구감삼동 165-2,감삼동 165-2,35.84872222,128.5398333
대구광역시 달서구신당동 1778-2,신당동 1778-2,35.85644167,128.49655
대구광역시 달서구성당동 495,성당동 495,35.84173056,128.5515889
대구광역시 달서구용산동 582,용산동 582,35.85934167,128.5222694
대구광역시 달서구용산동 459-1,용산동 459-1,35.85718889,128.5223694
대구광역시 달서구진천동 623-12,진천동 623-12,35.81297222,128.5229139
대구광역시 달서구월성2동 87,월성2동 87,35.82801944,128.5290083
대구광역시 달서구상인동 1569,상인동 1569,35.81044722,128.5481139
대구광역시 달서구상인2동 1421-22,상인2동 1421-22,35.8124,128.536625
대구광역시 달서구상인동 1442,상인동 1442,35.81490556,128.5334333
대구광역시 달서구상인3동 1583-7,상인3동 1583-7,35.80865556,128.5504917
대구광역시 달서구도원동 696-3,도원동 696-3,35.80638611,128.5499472
대구광역시 달서구상인2동 1109-10,상인2동 1109-10,35.8111568,128.5438142
대구광역시 달서구송현1동 1972,송현1동 1972,35.82633611,128.5535
대구광역시 달서구송현동 1980-4,송현동 1980-4,35.82955,128.5523222
대구광역시 달서구송현1동 206-17,송현1동 206-17,35.831675,128.5539556
대구광역시 달서구진천동 470-27,진천동 470-27,35.81035,128.5214056
대구광역시 달서구월성동 1224,월성동 1224,35.82318056,128.5284361
대구광역시 달서구진천동 265-22,진천동 265-22,35.81093056,128.5290833
대구광역시 달서구본동 793,본동 793,35.83605278,128.5400139
대구광역시 달서구송현동 1951,송현동 1951,35.82162778,128.5514333
